transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,unit_price,product_category,product_type
1,03/14/2023,16:50:08,2,,Utrecht,2.0,Coffee,Black coffee
2,03/13/2023,19:46:25,1,2,Utrecht,4.5,Chocolate,Hot chocolate
3,03/18/2023,09:00:53,1,3,Breda,3.0,Tea,Black tea
4,03/16/2023,11:16:47,2,2,Utrecht,3.0,Bakery,Scone
5,03/18/2023,17:00:22,1,3,Breda,4.5,Chocolate,Hot chocolate
6,03/18/2023,,1,2,Utrecht,3.5,Tea,Herbal tea
7,03/13/2023,10:15:55,3,1,Amsterdam,3.5,Bakery,Pie
8,03/17/2023,15:38:54,2,3,Breda,3.5,Bakery,Pie
9,03/18/2023,16:20:26,1,2,Utrecht,3.15,Tea,Green tea
10,03/18/2023,17:50:00,4,2,Utrecht,3.25,Tea,Chai tea
11,03/19/2023,09:58:13,1,2,Utrecht,2.0,Coffee,Black coffee
12,03/16/2023,14:03:49,2,2,Utrecht,3.5,Bakery,Pie
13,03/14/2023,12:44:39,1,3,Breda,3.5,Bakery,Pie
14,03/17/2023,18:51:17,1,3,Breda,3.5,Bakery,Pie
15,03/17/2023,12:39:46,1,1,Amsterdam,4.5,Chocolate,Hot chocolate
16,03/16/2023,09:29:07,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
17,03/14/2023,18:32:24,6,3,Breda,3.5,Bakery,Pie
18,03/18/2023,14:05:52,6,1,Amsterdam,3.0,Bakery,Scone
19,03/19/2023,16:51:38,1,2,Utrecht,3.25,Tea,Chai tea
20,03/18/2023,08:15:53,1,1,Amsterdam,3.5,Tea,Herbal tea
21,03/17/2023,08:55:40,2,3,Breda,3.75,Bakery,Sandwich
22,03/14/2023,19:51:07,2,3,Breda,4.5,Chocolate,Hot chocolate
23,03/16/2023,11:21:47,2,2,Utrecht,4.5,Chocolate,Hot chocolate
24,03/16/2023,16:06:31,4,2,Utrecht,3.15,Tea,Green tea
25,03/16/2023,10:25:20,6,2,Utrecht,6.3,Coffee,Organic blended coffee
26,03/17/2023,06:22:00,3,1,Amsterdam,3.25,Tea,Chai tea
27,03/18/2023,17:29:14,1,2,Utrecht,3.5,Tea,Herbal tea
28,03/15/2023,10:52:28,2,1,Amsterdam,3.5,Bakery,Pie
29,03/18/2023,17:55:12,2,3,Breda,4.5,Chocolate,Hot chocolate
30,03/18/2023,09:19:13,1,3,Breda,6.3,Coffee,Organic blended coffee
31,03/14/2023,06:02:24,2,3,Breda,4.5,Chocolate,Hot chocolate
32,03/18/2023,17:50:29,2,2,Utrecht,3.5,Coffee,Milk coffee
33,03/14/2023,08:26:37,2,2,Utrecht,4.25,Coffee,Syrup coffee
34,03/16/2023,09:41:38,1,3,Breda,4.5,Chocolate,Hot chocolate
35,03/18/2023,11:01:39,1,3,Breda,3.5,Coffee,Milk coffee
36,03/13/2023,16:15:34,6,2,Utrecht,4.5,Chocolate,Hot chocolate
